Block,Address,Layer,Matrix_Position,Diagonal_Value
2888,1Hv6u6qwoN1j1GMKWAmZMkJabMVdzzvrZj,0,"[72,72]",-27
2889,1K555qpRJJuZVm7ath2Lv5rbLfDGUvDxLS,0,"[73,73]",-27
2890,1CGMkEWHooj68hQjEGmuGwq5MEqL5KGLRQ,0,"[74,74]",-27
2908,14P7yKYiKdG5SqkbHSaTL6jXmXTgd3mYVa,0,"[92,92]",-27
2910,1E3nuvexijtSG9NcqP3F9meUup1KxdpMHs,0,"[94,94]",-27
2911,14UkLwoaYorLdGqyMLienKW1gbgiXrQ134,0,"[95,95]",-27
2935,14hDqiUod5qRBFuht5d4tNAHggFe29Wyi1,0,"[119,119]",27
2936,1AFUHWf11aoXWyeYRRx93qEm75bfx6Wp3d,0,"[120,120]",-27
3016,18SSgvGRfVHVmuab5vfjWWHuehZFvgFTx8,0,"[72,72]",-27
3018,1HToiHh1fnCJk2AKKm4VnLjL77Qhai4vko,0,"[74,74]",-27
3039,1NTXgVJvVVkArRaVbWHDWppGAyzwk8Uxr5,0,"[95,95]",-27
3063,17nbApcSFihd3ipMVmAoCzJVWCY2fFJh6t,0,"[119,119]",27
3064,1Pc4gCmYnTFnCnLmD1vma5yonqHHrRLuh3,0,"[120,120]",-27
3144,1LMZrhfJzZ7VaKU9uKREHYKugAaiEJ8QSC,0,"[72,72]",-27
3145,15NQywu6p2fQsam9MbryezJYP9AZuavxKW,0,"[73,73]",-27
3166,16ybnteiMLGXYFgtXq5bcRNhZcKteJTKdn,0,"[94,94]",-27
3191,1HQMxkLDX7trtdJWkCxJFH7gVYYtLjuVgw,0,"[119,119]",27
3272,1HxksKxRDy9g9GeaL3JwyYVdzwmTidQjzz,0,"[72,72]",-27
3273,1fmYsJ4RPyq7gpt41iqYaFijfTdQAJvNZ,0,"[73,73]",-27
3274,13gP1azcfnEjAjwjHavcTf747mP7uumn9c,0,"[74,74]",-27
3279,1N4NYXKpfVPaajbAfSVCWtdWxt38VbiybU,0,"[79,79]",27
3292,16kpgxrnpBTt4PbXq47AfJ12TdY2GLh7hW,0,"[92,92]",-27
